City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Hithadhoo,92,MV,1639975070,74,-0.6,73.0833,82.49,6.91
Arraial do Cabo,67,BR,1639975070,79,-22.9661,-42.0278,71.78,6.98
Hamilton,1,US,1639975070,87,39.1834,-84.5333,32.23,0.0
Pinawa,85,CA,1639975070,88,50.1489,-95.8811,6.67,12.15
Jamestown,75,US,1639974878,91,42.097,-79.2353,26.71,1.01
Bluff,88,NZ,1639975071,77,-46.6,168.3333,57.4,27.63
Havre-St-Pierre,90,CA,1639975071,73,50.2334,-63.5986,16.39,4.61
Faanui,22,PF,1639975071,75,-16.4833,-151.75,80.4,11.5
Jesús Carranza,100,MX,1639975071,90,17.4333,-95.0333,70.16,13.35
Saint Paul Harbor,20,US,1639974778,81,57.79,-152.4072,32.16,2.86
Rikitea,100,PF,1639975072,87,-23.1203,-134.9692,74.01,18.34
Tasiilaq,98,GL,1639975072,63,65.6145,-37.6368,28.56,7.43
Kumul,0,CN,1639975072,41,42.8,93.45,28.96,1.92
New Norfolk,93,AU,1639975072,54,-42.7826,147.0587,68.92,5.99
Dikson,92,RU,1639975073,99,73.5069,80.5464,-29.9,5.32
Tautira,40,PF,1639975073,73,-17.7333,-149.15,82.42,13.38
Iqaluit,40,CA,1639975073,76,63.7506,-68.5145,-7.31,8.99
Malakal,7,SS,1639975073,23,9.5334,31.6605,73.71,8.55
Lata,95,PT,1639975074,72,40.1629,-8.3327,58.08,7.85
Tuktoyaktuk,90,CA,1639975074,77,69.4541,-133.0374,-13.0,18.41
Longyearbyen,75,SJ,1639974953,80,78.2186,15.6401,22.84,6.91
Ponta do Sol,100,PT,1639975075,93,32.6667,-17.1,70.0,17.11
Provideniya,90,RU,1639975076,93,64.3833,-173.3,32.36,15.66
Saldanha,91,ZA,1639975077,82,-33.0117,17.9442,60.85,8.55
Piskivka,97,UA,1639975077,90,50.6938,29.6193,32.34,11.83
Saint-Philippe,54,RE,1639975077,80,-21.3585,55.7679,84.47,8.23
Evensk,5,RU,1639975077,74,61.95,159.2333,-22.09,8.95
Cururupu,100,BR,1639975078,86,-1.8283,-44.8683,77.04,3.6
Hobart,75,AU,1639974987,49,-42.8794,147.3294,69.26,3.0
Saskylakh,100,RU,1639975078,98,71.9167,114.0833,-7.26,10.33
Mariehamn,20,AX,1639975078,50,60.0973,19.9348,28.26,20.71
Esperance,32,AU,1639975079,53,-33.8667,121.9,78.64,14.47
Mount Gambier,40,AU,1639975079,52,-37.8333,140.7667,67.91,24.16
Marsá Maţrūḩ,40,EG,1639974868,76,31.3525,27.2453,50.2,12.66
Pemba,75,MZ,1639975079,83,-12.974,40.5178,81.3,3.44
Thompson,75,CA,1639975080,77,55.7435,-97.8558,-9.24,6.91
Klyuchi,99,RU,1639975080,93,52.2667,79.1667,28.98,10.11
Punta Arenas,75,CL,1639975080,81,-53.15,-70.9167,44.71,17.27
Bara,5,NG,1639975081,29,10.3744,10.7288,60.35,7.16
Dŭstí,91,TJ,1639975081,44,37.3481,68.664,47.12,3.56
Salta,75,AR,1639974808,62,-24.7859,-65.4117,74.57,5.75
Marsh Harbour,0,BS,1639975081,83,26.5412,-77.0636,75.96,12.77
El Campo,90,US,1639975081,71,29.1966,-96.2697,51.98,9.22
Krasnosel'kup,15,RU,1639975082,98,65.7,82.4667,-36.76,5.59
São Filipe,100,CV,1639974894,78,14.8961,-24.4956,73.24,9.89
Lana,11,IT,1639975082,67,46.6124,11.1559,51.12,7.49
Ambon City,40,ID,1639974835,100,-3.6954,128.1814,95.14,3.44
Chokurdakh,100,RU,1639975082,85,70.6333,147.9167,-1.28,16.37
St. George's,20,GD,1639975083,78,12.0564,-61.7485,80.28,20.71
Severo-Kuril'sk,87,RU,1639975083,79,50.6789,156.125,26.08,11.23
Pevek,100,RU,1639975083,94,69.7008,170.3133,-14.15,18.21
Leeton,5,AU,1639975084,24,-34.5667,146.4,82.89,9.22
Elko,92,US,1639975084,79,41.0002,-115.5012,26.06,1.32
Qaqortoq,100,GL,1639975084,57,60.7167,-46.0333,45.1,23.58
Kahului,75,US,1639975084,92,20.8947,-156.47,72.66,16.11
Fare,13,PF,1639975085,76,-16.7,-151.0167,80.13,11.77
Butaritari,97,KI,1639975085,74,3.0707,172.7902,82.08,14.65
Lumphat,51,KH,1639975085,47,13.4878,106.9816,87.28,2.66
Gangarampur,0,IN,1639974917,30,25.4,88.5167,68.18,6.22
Keene,1,US,1639975086,85,42.9337,-72.2781,21.38,1.01
Nāyudupet,20,IN,1639974909,61,13.9,79.9,79.68,6.87
Mayo,12,US,1639975086,64,38.8876,-76.5119,36.1,4.0
Khatanga,100,RU,1639975086,97,71.9667,102.5,-11.4,11.81
Casma,4,CL,1639975087,93,-41.0082,-73.1244,56.48,4.47
Te Anau,90,NZ,1639975087,81,-45.4167,167.7167,57.74,9.57
Truro,90,GB,1639975087,100,50.2653,-5.0544,42.08,14.97
Beidao,3,CN,1639974834,25,34.5686,105.8933,46.33,1.63
Caravelas,97,BR,1639975088,93,-17.7125,-39.2481,72.66,3.87
Mar del Plata,0,AR,1639974803,94,-38.0023,-57.5575,67.08,3.0
Norman Wells,90,CA,1639975089,78,65.282,-126.8329,1.44,6.91
Vestmannaeyjar,100,IS,1639975089,81,63.4427,-20.2734,45.63,2.26
Starogard Gdański,95,PL,1639975090,86,53.964,18.5264,38.97,16.96
Palmer,1,US,1639975090,69,42.1584,-72.3287,25.68,3.0
La Constancia,0,MX,1639975090,65,24.2231,-107.1869,62.85,8.7
Markivka,100,UA,1639975090,91,49.5229,39.5705,31.77,11.5
Cabo San Lucas,2,MX,1639974816,73,22.8909,-109.9124,70.52,1.01
Port Hedland,75,AU,1639975091,66,-20.3167,118.5667,91.45,17.27
Puerto Asís,100,CO,1639974882,96,0.5133,-76.5007,72.12,1.07
Port Blair,56,IN,1639975092,70,11.6667,92.75,81.95,10.6
Prince Rupert,1,CA,1639975092,83,54.3161,-130.3201,31.69,6.91
Cidreira,0,BR,1639975092,85,-30.1811,-50.2056,69.39,20.11
Haines Junction,84,CA,1639975092,76,60.7522,-137.5108,-22.05,1.14
Zelenogorskiy,100,RU,1639975093,96,55.0333,87.0,16.32,4.25
Boquira,100,BR,1639975093,94,-12.8231,-42.7306,68.05,1.28
Sola,79,VU,1639975093,74,-13.8833,167.55,81.52,4.79
Hermanus,97,ZA,1639974886,75,-34.4187,19.2345,67.8,19.8
Vila Franca do Campo,100,PT,1639975093,90,37.7167,-25.4333,57.61,29.28
Port Lincoln,11,AU,1639975094,52,-34.7333,135.8667,70.43,14.36
Adrar,100,MR,1639974803,23,20.5022,-10.0711,71.22,12.91
Ongandjera,48,NA,1639975094,30,-17.8833,15.0667,73.56,10.96
Três Lagoas,0,BR,1639974876,75,-20.7511,-51.6783,71.37,8.57
Adeje,40,ES,1639975094,88,28.1227,-16.726,69.31,8.05
San Andrés,20,CO,1639974846,83,12.5847,-81.7006,80.62,12.66
Chui,0,UY,1639975095,93,-33.6971,-53.4616,63.99,7.34
Garoowe,27,SO,1639975095,74,8.4054,48.4845,71.76,14.9
Jumla,0,NP,1639975095,9,29.2747,82.1838,50.13,1.52
La Ronge,75,CA,1639975096,70,55.1001,-105.2842,-12.75,8.05
Nanortalik,100,GL,1639975096,70,60.1432,-45.2371,40.57,30.11
Mafinga,86,TZ,1639974953,74,-7.25,35.0667,72.86,2.84
George Town,20,MY,1639974949,70,5.4112,100.3354,87.89,1.01
Geraldton,7,AU,1639974898,44,-28.7667,114.6,82.81,17.27
Saint-Augustin,12,CA,1639975097,73,51.226,-58.6502,8.37,10.22
Nelson Bay,95,AU,1639975097,77,-32.7167,152.15,84.25,6.58
Atuona,7,PF,1639975097,75,-9.8,-139.0333,77.92,13.33
Beloha,97,MG,1639974947,56,-25.1667,45.05,73.62,15.17
Kalmunai,34,LK,1639974952,73,7.4167,81.8167,81.23,11.81
Kaeo,83,NZ,1639975098,63,-35.1,173.7833,70.11,8.81
Saint George,1,US,1639974850,59,37.1041,-113.5841,37.99,0.0
Paita,99,PE,1639975098,79,-5.0892,-81.1144,68.79,11.48
Saryozek,100,KZ,1639975099,98,44.3583,77.9753,35.22,4.14
Salinópolis,100,BR,1639974905,84,-0.6136,-47.3561,79.5,10.65
Vostok,100,RU,1639975099,83,46.4856,135.8833,12.27,3.29
Hvolsvollur,100,IS,1639975099,85,63.7533,-20.2243,40.8,3.33
Torrington,9,US,1639975099,83,41.8007,-73.1212,25.68,1.99
Sioux Lookout,90,CA,1639975100,86,50.1001,-91.917,21.58,11.5
Beringovskiy,100,RU,1639975100,94,63.05,179.3167,2.55,4.23
Rome,1,US,1639975071,89,43.2128,-75.4557,25.38,0.0
Kupang,40,ID,1639974827,79,-10.1667,123.5833,88.38,9.22
Klaksvík,100,FO,1639975101,82,62.2266,-6.589,41.92,9.84
Akhtubinsk,100,RU,1639975101,69,48.2795,46.1722,38.17,28.01
Saint-Junien,0,FR,1639975101,76,45.8833,0.9,32.58,2.91
Khānāpur,5,IN,1639974911,49,15.6333,74.5167,71.22,10.67
Mayor Pablo Lagerenza,100,PY,1639975102,97,-19.9309,-60.7718,73.85,0.27
Qasigiannguit,99,GL,1639975102,68,68.8193,-51.1922,39.45,9.53
Susanville,90,US,1639975102,100,40.4163,-120.653,28.81,0.0
Măgherani,100,RO,1639975102,96,46.5667,24.9,34.97,9.48
Kruisfontein,100,ZA,1639975102,92,-34.0033,24.7314,63.88,12.82
Scalea,8,IT,1639975103,76,39.813,15.7956,49.33,1.41
Colares,100,PT,1639975103,78,38.7992,-9.4469,58.33,1.01
Ndendé,94,GA,1639975103,99,-2.4008,11.3581,72.93,0.87
Lagoa,100,PT,1639975103,67,39.05,-27.9833,58.32,34.34
Tuatapere,82,NZ,1639975103,61,-46.1333,167.6833,61.99,12.75
Salamanca,100,ES,1639975104,72,40.8333,-6.0,44.74,4.92
Jiazi,100,CN,1639975104,66,22.8779,116.067,58.6,16.08
Kumo,1,NG,1639974948,28,10.0447,11.2122,63.18,10.13
Tazmalt,68,DZ,1639975104,64,36.3868,4.3989,47.77,4.18
Henties Bay,36,NA,1639975105,80,-22.116,14.2845,60.85,3.29
Clyde River,100,CA,1639975105,92,70.4692,-68.5914,10.63,12.66
Thinadhoo,90,MV,1639975105,75,0.5333,72.9333,81.37,6.17
Chālūs,0,IR,1639974863,81,36.655,51.4204,44.06,0.0
Togur,100,RU,1639975105,86,58.3631,82.8265,-8.14,10.18
Vila Velha,75,BR,1639974812,94,-20.3297,-40.2925,67.95,5.75
Tual,95,ID,1639974891,66,-5.6667,132.75,84.87,2.33
Gariāband,0,IN,1639975106,21,20.635,82.0614,68.97,2.84
Tabas,72,IR,1639974920,49,33.5959,56.9244,59.74,3.98
Olafsvik,100,IS,1639975106,75,64.8945,-23.7142,41.54,2.57
Miraflores,64,MX,1639975107,85,19.2167,-98.8083,58.03,2.89
Hilo,90,US,1639975107,49,19.7297,-155.09,72.1,8.05
Sambava,50,MG,1639975107,71,-14.2667,50.1667,81.46,1.03
Sittwe,0,MM,1639974889,59,20.15,92.9,74.23,1.95
Mezen',41,RU,1639975108,97,65.8522,44.24,-16.87,5.57
Esim,67,GH,1639975108,80,4.8699,-2.2405,77.0,3.62
Macaé,0,BR,1639974818,100,-22.3708,-41.7869,69.55,1.14
Pottsville,5,US,1639975109,81,40.6857,-76.1955,27.57,6.15
Leningradskiy,100,RU,1639975109,87,69.3833,178.4167,-8.28,10.65
Souillac,40,MU,1639975109,69,-20.5167,57.5167,83.35,3.44
Lompoc,90,US,1639975109,82,34.6391,-120.4579,50.13,3.0
Guamúchil,0,MX,1639975109,51,25.4667,-108.1,57.74,3.4
Teya,26,RU,1639975110,90,60.3778,92.6267,-27.17,2.51
Talara,91,PE,1639975110,85,-4.5772,-81.2719,68.41,11.3
Alyangula,40,AU,1639975110,88,-13.8483,136.4192,76.87,5.75
Mikhaylovka,100,RU,1639974819,98,50.06,43.2379,34.79,14.47
Vanavara,43,RU,1639975111,94,60.34,102.2797,-34.38,0.74
Nador,75,MA,1639974827,88,35.174,-2.9287,55.65,0.0
Oranjestad,20,AW,1639975111,77,12.524,-70.027,79.92,4.0
Ajdabiya,81,LY,1639975111,68,30.7554,20.2263,53.87,8.81
Mizdah,0,LY,1639974947,83,31.4451,12.9801,40.42,7.0
Port Elizabeth,0,ZA,1639975112,88,-33.918,25.5701,66.09,4.61
Vakhrushev,100,RU,1639975112,83,48.9833,142.9667,14.0,3.4
East London,0,ZA,1639974824,94,-33.0153,27.9116,63.54,5.75
Canas,23,CR,1639975113,87,10.4294,-85.0931,76.86,7.54
Lethem,99,GY,1639975113,81,3.3803,-59.7968,76.86,7.9
Adet,62,ET,1639975113,77,11.2644,37.4888,58.86,0.89
Port Hardy,75,CA,1639975113,86,50.6996,-127.4199,37.4,8.05
Araouane,91,ML,1639975113,17,18.9048,-3.5265,67.44,7.9
Manali,27,IN,1639974905,79,13.1667,80.2667,80.69,12.73
Manado,40,ID,1639975114,79,1.487,124.8455,84.97,3.44
Yerbogachën,78,RU,1639975114,96,61.2767,108.0108,-33.25,3.74
Richards Bay,85,ZA,1639975114,73,-28.783,32.0377,71.98,7.18
Hong Kong,100,HK,1639974964,90,22.2855,114.1577,63.95,1.01
Lyndon,1,US,1639975115,82,38.2567,-85.6016,33.4,0.0
Avarua,40,CK,1639974887,69,-21.2078,-159.775,80.65,10.36
Jiuquan,0,CN,1639974828,13,39.7432,98.5174,35.74,1.54
Lishui,56,CN,1639975116,47,28.4604,119.9103,60.8,1.19
Estevan,75,CA,1639975117,78,49.1334,-102.9842,3.54,16.11
Sitka,1,US,1639975117,64,57.0531,-135.33,30.09,0.0
Temryuk,100,RU,1639975117,73,45.2722,37.3811,44.82,14.56
Byron Bay,100,AU,1639975118,65,-28.65,153.6167,95.11,11.79
Hofn,59,IS,1639975118,67,64.2539,-15.2082,40.39,5.79
Lázaro Cárdenas,83,MX,1639975118,78,17.9583,-102.2,76.55,3.0
Tromsø,0,NO,1639975118,93,69.6496,18.957,24.39,2.3
Guerrero Negro,1,MX,1639975118,56,27.9769,-114.0611,58.46,5.46
Nikolskoye,100,RU,1639975119,91,59.7035,30.7861,17.49,11.63
Wencheng,0,CN,1639975119,31,33.0559,113.7978,59.07,10.02
Nokaneng,100,BW,1639975119,75,-19.6667,22.2667,71.15,6.87
Mossamedes,63,AO,1639975119,70,-15.1961,12.1522,69.01,8.01
Nyurba,100,RU,1639975120,94,63.2842,118.3319,-24.84,6.71
Samarai,85,PG,1639975120,71,-10.6167,150.6667,83.62,9.06
Maha Sarakham,89,TH,1639975012,37,16.3333,103.6667,80.19,6.8
Ocós,5,GT,1639975120,82,14.5094,-92.1933,80.01,5.79
Kloulklubed,73,PW,1639975120,76,7.0419,134.2556,82.9,19.04
Dwārka,73,IN,1639974860,37,22.2394,68.9678,73.67,11.39
Eston,54,CA,1639975121,95,51.1501,-108.7514,6.93,10.51
Berlevåg,100,NO,1639975121,67,70.8578,29.0864,28.4,20.36
Puerto del Rosario,0,ES,1639975121,88,28.5004,-13.8627,64.08,5.75
Nizwá,23,OM,1639975122,43,22.9333,57.5333,71.53,0.94
Burtunay,25,RU,1639974894,60,42.9886,46.6303,35.01,7.49
Saint Anthony,75,US,1639975122,71,45.0205,-93.218,30.34,4.0
Treinta y Tres,0,UY,1639974865,95,-33.2333,-54.3833,62.35,5.17
Wonthaggi,5,AU,1639975123,69,-38.6044,145.5913,83.05,18.99
Grindavik,90,IS,1639975123,100,63.8424,-22.4338,41.47,8.05
La Crosse,1,US,1639975123,79,43.8014,-91.2396,30.11,5.01
Altamira,97,BR,1639974848,99,-3.2033,-52.2064,72.88,2.24
Namatanai,91,PG,1639975124,82,-3.6667,152.4333,80.26,3.98
Ambilobe,57,MG,1639975124,73,-13.2,49.05,84.69,1.28
Huarmey,82,PE,1639974949,86,-10.0681,-78.1522,67.1,6.22
Cherskiy,100,RU,1639975125,97,68.75,161.3,-25.42,22.62
Constantine,0,DZ,1639975125,80,36.365,6.6147,35.01,3.44
Vardø,100,NO,1639975125,68,70.3705,31.1107,19.6,22.75
Rio Brilhante,40,BR,1639974905,75,-21.8019,-54.5464,71.67,5.19
Necochea,0,AR,1639975125,86,-38.5473,-58.7368,55.04,5.06
Kavieng,86,PG,1639975126,75,-2.5744,150.7967,82.06,1.05
Vallenar,100,CL,1639974848,69,-28.5708,-70.7581,65.59,4.12
Honningsvåg,75,NO,1639975126,80,70.9821,25.9704,29.95,18.41
Tumkūr,3,IN,1639974927,45,13.3422,77.1017,67.24,7.67
Gizo Government Station,68,SB,1639975127,76,-8.103,156.8419,83.61,5.95
Carutapera,100,BR,1639975127,81,-1.195,-46.02,78.62,6.38
Jacobina,77,BR,1639974868,93,-11.1806,-40.5183,68.34,2.95
Coyhaique,0,CL,1639975127,62,-45.5752,-72.0662,55.35,3.44
Rāwah,62,IQ,1639975128,57,34.4816,41.9093,51.28,10.42
Kaitangata,100,NZ,1639975128,64,-46.2817,169.8464,64.92,14.05
Saint-Pierre,90,RE,1639975074,83,-21.3393,55.4781,84.56,3.44
Ingham,75,US,1639975128,89,42.6,-84.3833,28.17,3.44
Martapura,75,ID,1639975129,100,-3.4167,114.85,77.09,5.75
Bengkulu,100,ID,1639974868,58,-3.8004,102.2655,84.22,8.14
East Wenatchee Bench,81,US,1639975129,86,47.4257,-120.2812,26.37,4.38
Ushtobe,100,KZ,1639975130,93,45.2514,77.9838,38.7,13.13
Asău,88,RO,1639975130,94,46.4333,26.4,33.96,1.97
Rawson,4,AR,1639975130,69,-43.3002,-65.1023,57.38,13.18
Mehamn,40,NO,1639975130,86,71.0357,27.8492,30.38,14.97
Muros,100,ES,1639975131,83,42.7762,-9.0603,56.23,9.69
Makakilo City,40,US,1639975131,69,21.3469,-158.0858,75.52,6.91
Mbandaka,100,CD,1639974908,82,0.0487,18.2603,73.72,3.27
Nemuro,18,JP,1639975057,54,43.3236,145.575,28.83,11.54
Atar,100,MR,1639975131,23,20.5169,-13.0499,74.14,16.46
Forfar,99,GB,1639975132,89,56.6431,-2.8903,39.15,1.19
Ishigaki,40,JP,1639975092,56,24.3448,124.1572,71.73,11.5
Orcopampa,97,PE,1639975132,66,-15.2661,-72.3417,46.13,2.42
Rocha,2,UY,1639974847,97,-34.4833,-54.3333,61.0,5.93
Nisibis,99,TR,1639975132,87,37.0778,41.2178,48.74,9.98
Teguise,0,ES,1639975133,94,29.0605,-13.564,61.02,4.61
Port Hueneme,1,US,1639975133,84,34.1478,-119.1951,56.21,0.0
Tabou,75,CI,1639975133,83,4.423,-7.3528,78.94,6.78
Yur’yevets,100,RU,1639975134,94,57.3201,43.1041,19.45,12.64
Whitianga,0,NZ,1639975134,59,-36.8333,175.7,71.44,10.11
Jasper,1,US,1639975134,82,37.2001,-94.3502,33.24,1.01
Sydney,20,AU,1639974920,71,-33.8679,151.2073,91.89,1.99
Rāmhormoz,100,IR,1639975135,64,31.28,49.6035,62.67,2.59
Upernavik,93,GL,1639975135,72,72.7868,-56.1549,22.1,6.33
Ahipara,74,NZ,1639975135,66,-35.1667,173.1667,68.94,6.15
Fairbanks,90,US,1639975135,88,64.8378,-147.7164,21.6,3.44
Banepā,20,NP,1639975136,66,27.6298,85.5214,50.32,0.0
Umluj,99,SA,1639975136,51,25.0213,37.2685,66.33,8.77
Yerofey Pavlovich,100,RU,1639975136,84,53.9667,121.9667,-2.69,8.28
Pirovskoye,52,RU,1639975136,92,57.6267,92.2658,-21.59,10.89
Faaborg,0,DK,1639975137,79,55.0951,10.2423,35.94,12.24
Tupik,100,RU,1639975137,88,54.4253,119.9327,-9.67,12.95
Neubrandenburg,5,DE,1639975137,84,53.5667,13.2667,35.89,7.92
Yar-Sale,100,RU,1639975137,100,66.8333,70.8333,-24.79,9.37
Mocuba,100,MZ,1639975138,92,-16.8392,36.9856,74.57,3.09
Upata,94,VE,1639975138,98,8.0086,-62.3989,71.19,2.84
Rundu,77,NA,1639975138,77,-17.9333,19.7667,68.68,5.55
Erdaojiang,32,CN,1639975138,80,41.7764,126.0319,30.56,6.6
Lima,90,PE,1639975039,85,-12.0432,-77.0282,64.9,4.61
Labuhan,100,ID,1639975139,69,-6.8844,112.2051,85.05,4.59
Rawlins,1,US,1639975139,42,41.7911,-107.2387,34.02,12.66
Gainesville,1,US,1639975139,88,29.6516,-82.3248,67.86,5.75
Smithers,20,CA,1639975139,77,54.7804,-127.1743,-5.48,0.0
Havøysund,100,NO,1639975140,60,70.9963,24.6622,30.43,13.13
Amapá,89,BR,1639974863,99,1.0,-52.0,71.17,1.57
Kokoda,52,PG,1639975140,82,-8.8785,147.7407,82.42,1.57
Kieta,100,PG,1639975140,82,-6.2167,155.6333,82.94,4.0
Nadym,80,RU,1639975141,86,65.5333,72.5167,-27.02,11.97
Ancud,19,CL,1639975141,94,-41.8697,-73.8203,54.93,1.1
Umm Kaddadah,2,SD,1639975142,27,13.6017,26.6876,58.68,13.65
Margate,100,GB,1639975142,98,51.3813,1.3862,44.31,13.96
Mildura,4,AU,1639975142,18,-34.2,142.15,81.07,6.91
Gallup,1,US,1639975143,63,35.5281,-108.7426,25.02,1.01
Husavik,100,IS,1639975143,90,66.0449,-17.3389,42.71,1.88
Pahrump,1,US,1639974865,57,36.2083,-115.9839,43.18,4.99
Alta Floresta,100,BR,1639975143,99,-9.8756,-56.0861,71.64,2.3
Koungou,0,YT,1639974947,83,-12.7336,45.2042,80.31,2.3
Mailsi,6,PK,1639974893,10,29.8003,72.1758,65.05,4.68
Cuamba,67,MZ,1639974947,85,-14.8031,36.5372,73.56,2.21
Ranong,88,TH,1639974947,70,9.9658,98.6348,82.33,4.5
Buritis,75,BR,1639975145,96,-15.6178,-46.4233,69.64,1.59
Sassandra,36,CI,1639974944,86,4.95,-6.0833,76.96,2.42
Celano,0,IT,1639975145,58,42.0855,13.5398,38.7,3.69
Bilibino,100,RU,1639975146,98,68.0546,166.4372,-26.46,8.46
Padang,99,ID,1639975146,74,-0.9492,100.3543,78.85,3.85
Aykhal,100,RU,1639974952,99,66.0,111.5,-18.18,7.83
Pisco,75,PE,1639975146,88,-13.7,-76.2167,66.25,3.44
Greeneville,90,US,1639975147,69,36.1632,-82.831,35.92,6.91
Hasaki,0,JP,1639975147,39,35.7333,140.8333,55.29,3.98
Havelock,90,US,1639974882,88,34.8791,-76.9013,44.92,3.0
Gogrial,71,SS,1639975148,32,8.5332,28.1004,71.47,5.95
Mount Isa,20,AU,1639975148,25,-20.7333,139.5,98.37,5.75
Ciudad Bolivar,94,VE,1639975148,89,8.1222,-63.5497,75.02,8.59
Hervey Bay,93,AU,1639975148,60,-25.2986,152.8535,89.04,9.44
Brownsville,90,US,1639975149,93,25.9018,-97.4975,47.91,13.8
Maiduguri,22,NG,1639975149,49,11.8464,13.1603,61.14,7.29
Scarborough,73,GB,1639975149,89,54.2797,-0.4044,42.53,8.14
Oranjemund,2,NA,1639975149,83,-28.55,16.4333,62.15,6.24
Kadhan,6,PK,1639975150,23,24.481,68.9859,72.14,2.35
Codrington,16,AU,1639975150,47,-38.2667,141.9667,70.45,23.64
Mabaruma,96,GY,1639975150,99,8.2,-59.7833,72.37,1.43
Plyussa,100,RU,1639975150,84,58.4308,29.3654,16.75,12.55
Karasjok,97,NO,1639975151,100,69.4719,25.5112,5.11,2.93
Batagay-Alyta,100,RU,1639975151,99,67.8006,130.4114,-32.42,3.27
Mascota,26,MX,1639975151,84,20.5167,-104.7833,59.31,2.62
Caceres,100,ES,1639975151,74,39.522,-6.3748,46.8,6.8
Timrå,90,SE,1639975152,71,62.487,17.3257,28.11,8.05
Praxédis Guerrero,1,MX,1639975152,53,31.3667,-106.0167,46.81,4.14
Poum,4,NC,1639975152,71,-20.2333,164.0167,81.19,5.23
Nynäshamn,74,SE,1639975152,68,58.9034,17.9479,31.1,15.5
Esil,96,KZ,1639975152,91,51.9556,66.4042,24.98,8.79
Río Gallegos,0,AR,1639975153,57,-51.6226,-69.2181,48.25,20.71
Tomatlán,30,MX,1639975153,83,19.9333,-105.25,70.2,2.95
Aksu,89,CN,1639974950,43,41.1231,80.2644,29.59,2.86
Malavalli,9,IN,1639974911,58,12.3833,77.0833,71.46,8.23
Yangi Marg`ilon,75,UZ,1639975154,65,40.4272,71.7189,39.92,6.91
Bagdarin,18,RU,1639975154,62,54.4333,113.6,-13.04,5.84
Ismailia,72,EG,1639975155,68,30.6043,32.2723,48.87,21.27
Saint-François,90,FR,1639975155,93,46.4154,3.9054,33.24,2.3
Griffith,1,US,1639974893,83,41.5284,-87.4237,32.99,1.99
Monrovia,6,LR,1639974947,83,6.3005,-10.7969,78.48,5.3
Waterloo,1,CA,1639975156,90,43.4668,-80.5164,20.03,3.0
Iquitos,0,PE,1639975156,89,-3.7481,-73.2472,78.84,1.14
Chapais,79,CA,1639975156,99,49.7834,-74.8492,-2.42,4.09
Kautokeino,81,NO,1639975157,99,69.0125,23.0412,-4.25,3.58
Cayenne,40,GF,1639975157,86,4.9333,-52.3333,81.09,1.99
Aklavik,99,CA,1639975157,100,68.2191,-135.0107,0.43,7.16
